,task_id,problem,seed,success,test_cases_passed,test_cases_total,runtime,local_tests,local_test_state,iteration_idx
0,minimum-time-to-visit-a-cell-in-a-grid,"
from typing import List
import heapq

def minimumTime(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    directions = [(0, 1), (1, 0), (0, -1), (-1, 0)]
    pq = [(0, 0, 0)]  # (time, row, col)
    visited = set()
    
    while pq:
        time, row, col = heapq.heappop(pq)
        
        if (row, col) in visited:
            continue
        
        visited.add((row, col))
        
        if row == m - 1 and col == n - 1:
            return time
        
        for dr, dc in directions:
            new_row, new_col = row + dr, col + dc
            if 0 <= new_row < m and 0 <= new_col < n and (new_row, new_col) not in visited:
                new_time = max(time + 1, grid[new_row][new_col])
                heapq.heappush(pq, (new_time, new_row, new_col))
    
    return -1
",55,False,22,41,,"**Tests that the code passed:**

No tests passed.


**Tests that the code failed:**

assert minimumTime([[0,1,3,2],[5,1,2,5],[4,3,8,6]]) == 7 # ERROR: This unit test fails. Output was 6, but expected value was: 7
assert minimumTime([[0,2,4],[3,2,1],[1,0,4]]) == -1 # ERROR: This unit test fails. Output was 5, but expected value was: -1","(False, False)",0
1,minimum-time-to-visit-a-cell-in-a-grid,"from typing import List
import heapq

def minimumTime(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    directions = [(0, 1), (1, 0), (0, -1), (-1, 0)]
    pq = [(0, 0, 0)]  # (time, row, col)
    visited = set()
    
    while pq:
        time, row, col = heapq.heappop(pq)
        
        if (row, col) in visited:
            continue
        
        visited.add((row, col))
        
        if row == m - 1 and col == n - 1:
            return time
        
        for dr, dc in directions:
            new_row, new_col = row + dr, col + dc
            if 0 <= new_row < m and 0 <= new_col < n and (new_row, new_col) not in visited:
                new_time = max(time + 1, grid[new_row][new_col])
                heapq.heappush(pq, (new_time, new_row, new_col))
    
    return -1",55,False,22,41,,,,1
2,find-the-string-with-lcp,"
def findTheString(lcp: List[List[int]]) -> str:
    n = len(lcp)
    word = [''] * n
    current_char = 'a'
    
    for i in range(n):
        if word[i] == '':
            word[i] = current_char
            for j in range(i + 1, n):
                if lcp[i][j] > 0:
                    word[j] = word[i]
            current_char = chr(ord(current_char) + 1)
    
    for i in range(n):
        for j in range(n):
            if lcp[i][j] != 0:
                if word[i] != word[j]:
                    return """"
                k = 0
                while i + k < n and j + k < n and word[i + k] == word[j + k]:
                    k += 1
                if k != lcp[i][j]:
                    return """"
            else:
                if i != j and word[i] == word[j]:
                    return """"
    
    return ''.join(word)
",55,False,36,55,,"**Tests that the code passed:**

assert findTheString([[4,0,2,0],[0,3,0,1],[2,0,2,0],[0,1,0,1]]) == ""abab""
assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,1]]) == ""aaaa""
assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,3]]) == """"

**Tests that the code failed:**

No tests failed.
","(True, True, True)",0
3,find-the-string-with-lcp,"from typing import List

def findTheString(lcp: List[List[int]]) -> str:
    n = len(lcp)
    word = [''] * n
    current_char = 'a'
    
    # Check for symmetry and diagonal values
    for i in range(n):
        if lcp[i][i] != n - i:
            return """"
        for j in range(n):
            if lcp[i][j] != lcp[j][i]:
                return """"
            if lcp[i][j] > n - max(i, j):
                return """"
    
    for i in range(n):
        if word[i] == '':
            word[i] = current_char
            for j in range(i + 1, n):
                if lcp[i][j] > 0:
                    word[j] = word[i]
            current_char = chr(ord(current_char) + 1)
            if current_char > 'z':
                return """"
    
    for i in range(n):
        for j in range(n):
            if lcp[i][j] != 0:
                if word[i] != word[j]:
                    return """"
                k = 0
                while i + k < n and j + k < n and word[i + k] == word[j + k]:
                    k += 1
                if k != lcp[i][j]:
                    return """"
            else:
                if i != j and word[i] == word[j]:
                    return """"
    
    return ''.join(word)",55,False,36,55,,"**Tests that the code passed:**

assert findTheString([[4,0,2,0],[0,3,0,1],[2,0,2,0],[0,1,0,1]]) == ""abab""
assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,1]]) == ""aaaa""
assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,3]]) == """"

**Tests that the code failed:**

No tests failed.
","(True, True, True)",1
4,handling-sum-queries-after-update,"
from typing import List

def handleQuery(nums1: List[int], nums2: List[int], queries: List[List[int]]) -> List[int]:
    result = []
    
    for query in queries:
        if query[0] == 1:
            l, r = query[1], query[2]
            for i in range(l, r + 1):
                nums1[i] = 1 - nums1[i]
        elif query[0] == 2:
            p = query[1]
            for i in range(len(nums2)):
                nums2[i] += nums1[i] * p
        elif query[0] == 3:
            result.append(sum(nums2))
    
    return result
",55,False,72,77,,"**Tests that the code passed:**

assert handleQuery([1,0,1], [0,0,0], [[1,1,1],[2,1,0],[3,0,0]]) == [3]
assert handleQuery([1], [5], [[2,0,0],[3,0,0]]) == [5]

**Tests that the code failed:**

No tests failed.
","(True, True)",0
5,handling-sum-queries-after-update,"from typing import List

class SegmentTree:
    def __init__(self, n):
        self.n = n
        self.tree = [0] * (4 * n)
        self.lazy = [0] * (4 * n)
        self.nums1_state = [0] * n  # Auxiliary array to maintain the state of nums1

    def update_range(self, start, end, l, r, node):
        if self.lazy[node] != 0:
            self.tree[node] = (end - start + 1) - self.tree[node]
            if start != end:
                self.lazy[node * 2 + 1] ^= 1
                self.lazy[node * 2 + 2] ^= 1
            self.lazy[node] = 0

        if start > end or start > r or end < l:
            return

        if start >= l and end <= r:
            self.tree[node] = (end - start + 1) - self.tree[node]
            if start != end:
                self.lazy[node * 2 + 1] ^= 1
                self.lazy[node * 2 + 2] ^= 1
            for i in range(start, end + 1):
                self.nums1_state[i] ^= 1  # Update the state of nums1
            return

        mid = (start + end) // 2
        self.update_range(start, mid, l, r, node * 2 + 1)
        self.update_range(mid + 1, end, l, r, node * 2 + 2)
        self.tree[node] = self.tree[node * 2 + 1] + self.tree[node * 2 + 2]

    def query(self, start, end, l, r, node):
        if self.lazy[node] != 0:
            self.tree[node] = (end - start + 1) - self.tree[node]
            if start != end:
                self.lazy[node * 2 + 1] ^= 1
                self.lazy[node * 2 + 2] ^= 1
            self.lazy[node] = 0

        if start > end or start > r or end < l:
            return 0

        if start >= l and end <= r:
            return self.tree[node]

        mid = (start + end) // 2
        left_query = self.query(start, mid, l, r, node * 2 + 1)
        right_query = self.query(mid + 1, end, l, r, node * 2 + 2)
        return left_query + right_query

def handleQuery(nums1: List[int], nums2: List[int], queries: List[List[int]]) -> List[int]:
    n = len(nums1)
    seg_tree = SegmentTree(n)
    result = []
    cumulative_p = 0
    sum_nums2 = sum(nums2)

    for query in queries:
        if query[0] == 1:
            l, r = query[1], query[2]
            seg_tree.update_range(0, n - 1, l, r, 0)
        elif query[0] == 2:
            p = query[1]
            for i in range(n):
                if seg_tree.nums1_state[i] == 1:
                    nums2[i] += p
            sum_nums2 = sum(nums2)  # Update the running sum of nums2
        elif query[0] == 3:
            result.append(sum_nums2)

    return result",55,False,0,77,,,,1
6,subsequence-with-the-minimum-score,"
def minimumScore(s: str, t: str) -> int:
    n, m = len(s), len(t)
    
    # Find the longest prefix of t that is a subsequence of s
    prefix = [0] * (m + 1)
    j = 0
    for i in range(n):
        if j < m and s[i] == t[j]:
            j += 1
        prefix[j] = i + 1
    
    # Find the longest suffix of t that is a subsequence of s
    suffix = [0] * (m + 1)
    j = 0
    for i in range(n - 1, -1, -1):
        if j < m and s[i] == t[m - 1 - j]:
            j += 1
        suffix[j] = n - i
    
    # Calculate the minimum score
    min_score = m
    for i in range(m + 1):
        if prefix[i] + suffix[m - i] <= n:
            min_score = min(min_score, m - i)
    
    return min_score
",55,False,7,54,,"**Tests that the code passed:**

No tests passed.


**Tests that the code failed:**

assert minimumScore(""abacaba"", ""bzaa"") == 1 # ERROR: This unit test fails. Output was 0, but expected value was: 1
assert minimumScore(""cde"", ""xyz"") == 3 # ERROR: This unit test fails. Output was 0, but expected value was: 3","(False, False)",0
7,subsequence-with-the-minimum-score,"def minimumScore(s: str, t: str) -> int:
    n, m = len(s), len(t)
    
    # Find the longest prefix of t that is a subsequence of s
    prefix = [-1] * (m + 1)
    j = 0
    for i in range(n):
        if j < m and s[i] == t[j]:
            j += 1
            prefix[j] = i
    
    # Find the longest suffix of t that is a subsequence of s
    suffix = [-1] * (m + 1)
    j = 0
    for i in range(n - 1, -1, -1):
        if j < m and s[i] == t[m - 1 - j]:
            j += 1
            suffix[j] = i
    
    # Calculate the minimum score
    min_score = m
    for i in range(m + 1):
        if prefix[i] != -1:
            for j in range(m - i + 1):
                if suffix[j] != -1 and prefix[i] < suffix[j]:
                    left = prefix[i] + 1
                    right = suffix[j] - 1
                    min_score = min(min_score, right - left + 1)
    
    # Handle edge case where t is already a subsequence of s
    if min_score == m:
        min_score = 0
    
    # Handle edge case where all characters of t need to be removed
    if min_score == m and not any(suffix):
        min_score = m
    
    return min_score",55,False,14,54,,,,1
8,minimum-number-of-visited-cells-in-a-grid,"
from typing import List
from collections import deque

def minimumVisitedCells(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    if m == 1 and n == 1:
        return 1
    
    directions = [(0, 1), (1, 0)]
    queue = deque([(0, 0, 1)])  # (row, col, steps)
    visited = set((0, 0))
    
    while queue:
        i, j, steps = queue.popleft()
        
        for di, dj in directions:
            for k in range(1, grid[i][j] + 1):
                ni, nj = i + di * k, j + dj * k
                if 0 <= ni < m and 0 <= nj < n and (ni, nj) not in visited:
                    if ni == m - 1 and nj == n - 1:
                        return steps + 1
                    queue.append((ni, nj, steps + 1))
                    visited.add((ni, nj))
    
    return -1
",55,False,0,0,-1,"**Tests that the code passed:**

assert minimumVisitedCells([[3,4,2,1],[4,2,3,1],[2,1,0,0],[2,4,0,0]]) == 4
assert minimumVisitedCells([[3,4,2,1],[4,2,1,1],[2,1,1,0],[3,4,1,0]]) == 3
assert minimumVisitedCells([[2,1,0],[1,0,0]]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True, True)",0
9,minimum-number-of-visited-cells-in-a-grid,"from typing import List
from collections import deque
import heapq

def minimumVisitedCells(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    if m == 1 and n == 1:
        return 1

    def explore_moves(i, j, steps, queue, visited):
        for di, dj in [(0, 1), (1, 0)]:
            if di == 0:  # Rightward movement
                for nj in range(j + 1, min(n, j + grid[i][j] + 1)):
                    if (i, nj) not in visited:
                        if i == m - 1 and nj == n - 1:
                            return steps + 1
                        heapq.heappush(queue, (steps + 1, i, nj))
                        visited.add((i, nj))
            else:  # Downward movement
                for ni in range(i + 1, min(m, i + grid[i][j] + 1)):
                    if (ni, j) not in visited:
                        if ni == m - 1 and j == n - 1:
                            return steps + 1
                        heapq.heappush(queue, (steps + 1, ni, j))
                        visited.add((ni, j))
        return None

    queue = [(1, 0, 0)]  # (steps, row, col)
    visited = set([(0, 0)])

    while queue:
        steps, i, j = heapq.heappop(queue)
        result = explore_moves(i, j, steps, queue, visited)
        if result is not None:
            return result

    return -1",55,False,0,0,-1,"**Tests that the code passed:**

assert minimumVisitedCells([[3,4,2,1],[4,2,3,1],[2,1,0,0],[2,4,0,0]]) == 4
assert minimumVisitedCells([[3,4,2,1],[4,2,1,1],[2,1,1,0],[3,4,1,0]]) == 3
assert minimumVisitedCells([[2,1,0],[1,0,0]]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True, True)",1
